title,abstract,publication_date,source_database,url,year_abs,jd,am_day,content,date_str,source
Automated Prediction of Medieval Arabic Diacritics,"This study uses a character level neural machine translation approach trained
on a long short-term memory-based bi-directional recurrent neural network
architecture for diacritization of Medieval Arabic. The results improve from
the online tool used as a baseline. A diacritization model have been published
openly through an easy to use Python package available on PyPi and Zenodo. We
have found that context size should be considered when optimizing a feasible
prediction model.",2020-10-11,arxiv,http://arxiv.org/abs/2010.05269v1,2020,2459133.5,720969.5,,,
"SharedCanvas: A Collaborative Model for Medieval Manuscript Layout
  Dissemination","In this paper we present a model based on the principles of Linked Data that
can be used to describe the interrelationships of images, texts and other
resources to facilitate the interoperability of repositories of medieval
manuscripts or other culturally important handwritten documents. The model is
designed from a set of requirements derived from the real world use cases of
some of the largest digitized medieval content holders, and instantiations of
the model are intended as the input to collection-independent page turning and
scholarly presentation interfaces. A canvas painting paradigm, such as in PDF
and SVG, was selected based on the lack of a one to one correlation between
image and page, and to fulfill complex requirements such as when the full text
of a page is known, but only fragments of the physical object remain. The model
is implemented using technologies such as OAI-ORE Aggregations and OAC
Annotations, as the fundamental building blocks of emerging Linked Digital
Libraries. The model and implementation are evaluated through prototypes of
both content providing and consuming applications. Although the system was
designed from requirements drawn from the medieval manuscript domain, it is
applicable to any layout-oriented presentation of images of text.",2011-04-14,arxiv,http://arxiv.org/abs/1104.2925v1,2011,2455665.5,717501.5,,,
"The Heart is a Dust Board: Abu'l Wafa Al-Buzjani, Dissection,
  Construction, and the Dialog Between Art and Mathematics in Medieval Islamic
  Culture. An Article","Penrose tilings and Arabic Mathematical explorations. One single article
published in the 2010 HOM-SIGMAA publication by the Mathematical Association of
America.",2019-10-28,arxiv,http://arxiv.org/abs/1910.14432v1,2019,2458784.5,720620.5,,,
Transcribing Medieval Manuscripts for Machine Learning,"This article focuses on the transcription of medieval manuscripts. Whereas
problems of transcription have long interested medievalists, few workable
options in the era of printed editions were available besides normalisation.
The automation of this process, known as handwritten text recognition (HTR),
has made new kinds of digital text creation possible, but also has foregrounded
the necessity of theorising transcription in our scholarly practices. We
reflect here on different notions of transcription against the backdrop of
changing text technologies. Moreover, drawing on our own research on medieval
Latin Bibles, we present general guidelines for customizing transcription
schemes, arguing that they must be designed with specific research questions
and scholarly end use in mind. Since we are particularly interested in the
scribal contribution to the production of codices, our transcription guidelines
aim to capture abbreviations and orthographic variation between different
textual witnesses for downstream machine learning tasks. In the final section
of the article, we discuss a few examples of how the HTR-created transcriptions
allow us to address new questions at scale in medieval manuscripts, such as
textual variance across witnesses, the prediction of a change in scribal hands
within a single manuscript as well as the profiling of individual and regional
scribal characteristics.",2022-07-15,arxiv,http://arxiv.org/abs/2207.07726v3,2022,2459775.5,721611.5,,,
A tailored Handwritten-Text-Recognition System for Medieval Latin,"The Bavarian Academy of Sciences and Humanities aims to digitize its Medieval
Latin Dictionary. This dictionary entails record cards referring to lemmas in
medieval Latin, a low-resource language. A crucial step of the digitization
process is the Handwritten Text Recognition (HTR) of the handwritten lemmas
found on these record cards. In our work, we introduce an end-to-end pipeline,
tailored to the medieval Latin dictionary, for locating, extracting, and
transcribing the lemmas. We employ two state-of-the-art (SOTA) image
segmentation models to prepare the initial data set for the HTR task.
Furthermore, we experiment with different transformer-based models and conduct
a set of experiments to explore the capabilities of different combinations of
vision encoders with a GPT-2 decoder. Additionally, we also apply extensive
data augmentation resulting in a highly competitive model. The best-performing
setup achieved a Character Error Rate (CER) of 0.015, which is even superior to
the commercial Google Cloud Vision model, and shows more stable performance.",2023-08-18,arxiv,http://arxiv.org/abs/2308.09368v1,2023,2460174.5,722010.5,,,
Events in January 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2459959.5,721795.5,Wikipedia page for 2023 mentions events in January,2023-01-15,wikipedia_en
Events in February 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2459990.5,721826.5,Wikipedia page for 2023 mentions events in February,2023-02-15,wikipedia_en
Events in March 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460018.5,721854.5,Wikipedia page for 2023 mentions events in March,2023-03-15,wikipedia_en
Events in April 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460049.5,721885.5,Wikipedia page for 2023 mentions events in April,2023-04-15,wikipedia_en
Events in May 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460079.5,721915.5,Wikipedia page for 2023 mentions events in May,2023-05-15,wikipedia_en
Events in June 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460110.5,721946.5,Wikipedia page for 2023 mentions events in June,2023-06-15,wikipedia_en
Events in July 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460140.5,721976.5,Wikipedia page for 2023 mentions events in July,2023-07-15,wikipedia_en
Events in August 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460171.5,722007.5,Wikipedia page for 2023 mentions events in August,2023-08-15,wikipedia_en
Events in September 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460202.5,722038.5,Wikipedia page for 2023 mentions events in September,2023-09-15,wikipedia_en
Events in October 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460232.5,722068.5,Wikipedia page for 2023 mentions events in October,2023-10-15,wikipedia_en
Events in November 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460263.5,722099.5,Wikipedia page for 2023 mentions events in November,2023-11-15,wikipedia_en
Events in December 2023,,,,https://en.wikipedia.org/wiki/2023,2023,2460293.5,722129.5,Wikipedia page for 2023 mentions events in December,2023-12-15,wikipedia_en
A probable case of multiple osteochondromas from an Early Medieval burial site in the Venetian lagoon (Italy): Differential diagnosis and review of cases from archaeological contexts.,To evaluate a pathological condition on a skeleton from medieval Veneto (Italy).,2025-06-15,pubmed,,2025,2460841.5,722677.5,,,
Modified kraft lignin as sustainable consolidants for waterlogged archaeological wood.,"This study evaluates lightened kraft lignin: modified via acetylation and encapsulation, as a sustainable consolidant for waterlogged archaeological pine (Pinus sp.) from the Biskupin site (Poland). Lignin was acetylated with acetic anhydride/pyridine and, in a separate route, converted into colloidal capsules by tetrahydrofuran/water self‑assembly; both modifications were characterized and then applied to waterlogged archaeological wood by 2‑week immersion. Effectiveness was assessed by Fourier",2025-06-15,pubmed,,2025,2460841.5,722677.5,,,
Dynamic human admixture histories over the past ~1300 years at the northern Himalayan frontier.,"Archaeological and paleogenomic evidence from the Tibetan Plateau and high-altitude Central Himalayas suggest biocultural connections with each other and with lowland East, Central, and South Asia. However, genetic histories at the northern frontier of the Indian Himalayas, which is geographically more proximal to Central and lowland South Asia, remain underexplored. We analyzed genome-wide data from 7 ancient (~2300 to 100 years old) and 10 present-day individuals from the northern Indian Himal",2025-06-15,pubmed,,2025,2460841.5,722677.5,,,
The spatiotemporal distribution characteristics and influencing factors of ancient tombs in China: A study on the conservation of ancient tombs in China.,"Ancient tombs were valuable cultural heritage of China and possessed immeasurable significance. However, research on their spatiotemporal distribution and influencing factors was relatively absent. Based on the establishment of a national geographic information database of ancient tombs, this study employed ArcGIS and SPSS software to conduct both qualitative and quantitative analyses of the extant ancient tombs in China, with the aim of providing support for the protection of Chinese ancient to",2025-06-15,pubmed,,2025,2460841.5,722677.5,,,
"Analysis of the Fiber Residues Unearthed from the Dabuzi Han Tomb in Xi'an, Shaanxi.","In 2021, archeologists found that a bronze mirror was wrapped with a yellow-green fiber sheet in the Western Han tomb M68 in the Dabuzi Cemetery in Xi'an, China. To ascertain the composition and function, a scanning electronic microscopy-energy dispersive spectrometer (SEM-EDS), Fourier transform infrared spectroscopy (FTIR), and pyrolysis gas chromatography-mass spectrometry (Py-GC/MS) were combined for the morphology and components' analysis. The results showed that the surface of the yellow-g",2025-06-15,pubmed,,2025,2460841.5,722677.5,,,
